,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Eclipta,1,0,34,0,0,0,1,2,0,0,0,0,0,0,1
Goosegrass,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0
Morningglory,0,0,2,0,165,0,1,0,0,0,0,0,0,0,0
Nutsedge,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0
PalmerAmaranth,1,0,0,0,5,0,96,0,0,0,0,0,0,1,1
PricklySida,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0
Purslane,1,0,0,0,0,0,0,0,66,0,0,1,0,0,0
Ragweed,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0
Sicklepod,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0
SpottedSpurge,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0
SpurredAnoda,1,0,0,0,1,0,1,1,0,1,0,0,5,0,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,0,0,1,0,0,0,1,0,0,0,1,0,0,0,65
