,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
Eclipta,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0
Goosegrass,0,0,0,31,0,0,1,0,0,0,0,0,0,1,0
Morningglory,0,0,0,0,164,0,3,0,1,0,0,0,0,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,1,0,0,0,1,0,100,0,0,0,0,1,0,0,1
PricklySida,0,0,1,0,0,0,0,17,1,0,0,1,0,0,0
Purslane,1,0,1,0,0,0,1,0,65,0,0,0,0,0,0
Ragweed,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Sicklepod,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
SpurredAnoda,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,1,0,1,0,0,0,2,0,0,0,0,0,0,0,64
