,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,13,0,3,0,1,0,0,0,0,0,0,0,0,0
Eclipta,2,0,35,0,0,0,0,1,0,0,0,0,0,0,1
Goosegrass,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0
Morningglory,0,0,0,0,163,0,3,0,1,0,0,1,0,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,1,0,0,0,1,0,98,1,1,0,0,1,0,0,1
PricklySida,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Purslane,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1
Ragweed,0,0,1,0,0,0,0,1,0,18,0,0,0,0,0
Sicklepod,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0
SpurredAnoda,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0
Swinecress,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
Waterhemp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67
