,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Eclipta,1,0,37,0,0,0,0,0,0,1,0,0,0,0,0
Goosegrass,0,1,0,31,0,1,0,0,0,0,0,0,0,0,0
Morningglory,0,0,1,0,159,0,3,0,3,1,0,0,1,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,1,0,0,0,0,0,94,5,0,0,0,2,0,0,2
PricklySida,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Purslane,1,0,0,0,0,0,0,0,66,0,0,1,0,0,0
Ragweed,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Sicklepod,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
SpurredAnoda,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67
