,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,112,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Crabgrass,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0
Eclipta,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0
Goosegrass,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0
Morningglory,0,0,1,0,161,0,1,0,4,0,0,1,0,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,1,0,0,0,4,0,96,0,1,0,0,0,0,0,2
PricklySida,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0
Purslane,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
Ragweed,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Sicklepod,0,0,0,0,2,0,0,0,0,0,34,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,1,1,0,1,33,0,0,0
SpurredAnoda,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67
